Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,world_cup_year,host_country,match_status,winning_team,best_bowler_1,best_bowler_1_wick,best_bowler_2,best_bowler_2_wick,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs
0,3,2011-02-21, Ahmedabad,League-Match,AUS,ZIM,262.0,6.0,171.0,0.0,Australia won by 91 runs,Shane Watson,"['SR Watson - 79 runs ', 'MJ Clarke - 58 runs ']","['MG Johnson - 4', 'JJ Krejza - 2']",2011,India,played,Australia ,MG Johnson,4,JJ Krejza,2,SR Watson,79 runs,MJ Clarke,58 runs
1,48,2011-04-02, Wankhede,Final,SL,IND,274.0,6.0,277.0,4.0,India won by 6 wickets (with 10 balls remaining),MS Dhoni,"['DPMD Jayawardene - 103 runs ', 'G Gambhir - 97 runs ']","['SL Malinga - 2', 'Yuvraj Singh - 2']",2011,India,played,India ,SL Malinga,2,Yuvraj Singh,2,DPMD Jayawardene,103 runs,G Gambhir,97 runs
2,28,2011-03-12, Nagpur,League-Match,IND,SA,296.0,0.0,300.0,7.0,South Africa won by 3 wickets (with 2 balls remaining),Dale Steyn,"['SR Tendulkar - 111 runs ', 'V Sehwag - 73 runs ']","['DW Steyn - 5', 'Harbhajan Singh - 3']",2011,India,played,South Africa ,DW Steyn,5,Harbhajan Singh,3,SR Tendulkar,111 runs,V Sehwag,73 runs
3,40,2011-03-20, Eden Gardens,League-Match,ZIM,KENYA,308.0,6.0,147.0,0.0,Zimbabwe won by 161 runs,Craig Ervine,"['CR Ervine - 66 runs ', 'V Sibanda - 61 runs ']","['RW Price - 2', 'GA Lamb - 2']",2011,India,played,Zimbabwe ,RW Price,2,GA Lamb,2,CR Ervine,66 runs,V Sibanda,61 runs
6,42,2011-03-23, Mirpur,Final,WI,PAK,112.0,0.0,113.0,0.0,Pakistan won by 10 wickets (with 175 balls remaining),Mohammad Hafeez,"['Mohammad Hafeez - 61 runs ', 'Kamran Akmal - 47 runs ']","['Shahid Afridi - 4', 'Mohammad Hafeez - 2']",2011,Bangladesh,played,Pakistan ,Shahid Afridi,4,Mohammad Hafeez,2,Mohammad Hafeez,61 runs,Kamran Akmal,47 runs
12,45,2011-03-26, Colombo (RPS),Final,ENG,SL,229.0,6.0,231.0,0.0,Sri Lanka won by 10 wickets (with 63 balls remaining),Tillakaratne Dilshan,"['TM Dilshan - 108 runs ', 'WU Tharanga - 102 runs ']","['M Muralidaran - 2', 'BAW Mendis - 1']",2011,Sri Lanka,played,Sri Lanka ,M Muralidaran,2,BAW Mendis,1,TM Dilshan,108 runs,WU Tharanga,102 runs
15,43,2011-03-24, Ahmedabad,Final,AUS,IND,260.0,6.0,261.0,5.0,India won by 5 wickets (with 14 balls remaining),Yuvraj Singh,"['RT Ponting - 104 runs ', 'Yuvraj Singh - 57 runs ']","['Yuvraj Singh - 2', 'R Ashwin - 2']",2011,India,played,India ,Yuvraj Singh,2,R Ashwin,2,RT Ponting,104 runs,Yuvraj Singh,57 runs
16,7,2011-02-25, Nagpur,League-Match,NZ,AUS,206.0,0.0,207.0,3.0,Australia won by 7 wickets (with 96 balls remaining),Mitchell Johnson,"['SR Watson - 62 runs ', 'BJ Haddin - 55 runs ']","['MG Johnson - 4', 'SW Tait - 3']",2011,India,played,Australia ,MG Johnson,4,SW Tait,3,SR Watson,62 runs,BJ Haddin,55 runs
21,46,2011-03-29, Colombo (RPS),Semi-Final,NZ,SL,217.0,0.0,220.0,5.0,Sri Lanka won by 5 wickets (with 13 balls remaining),Kumar Sangakkara,"['TM Dilshan - 73 runs ', 'SB Styris - 57 runs ']","['BAW Mendis - 3', 'TG Southee - 3']",2011,Sri Lanka,played,Sri Lanka ,BAW Mendis,3,TG Southee,3,TM Dilshan,73 runs,SB Styris,57 runs
22,44,2011-03-25, Mirpur,Final,NZ,SA,221.0,8.0,172.0,0.0,New Zealand won by 49 runs,Jacob Oram,"['JD Ryder - 83 runs ', 'JH Kallis - 47 runs ']","['JDP Oram - 4', 'NL McCullum - 3']",2011,Bangladesh,played,New Zealand ,JDP Oram,4,NL McCullum,3,JD Ryder,83 runs,JH Kallis,47 runs
